keyword,rank,適不適合,原因,domain_page,url,title
活動講座,1,0,,https://www.facebook.com ,https://www.facebook.com/groups/freeact/?locale=zh_TW,免費演講/講座/課程/活動資訊分享平台 - Facebook
活動講座,2,1,,https://cloud.culture.tw ,https://cloud.culture.tw/frontsite/inquiry/eventInquiryAction.do?method=showEventList&type=7,講座 - 文化部iCulture-找活動
活動講座,3,1,train/vali have,https://kktix.com ,https://kktix.com/events?event_tag_ids_in=2,探索活動 - KKTIX
活動講座,4,1,train/vali have,https://www.beclass.com ,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=L,課程/講座-顯示所有活動-第1頁 - BeClass線上報名系統
活動講座,5,1,,https://www.cnyes.com ,https://www.cnyes.com/events,活動講座- Anue 鉅亨網
活動講座,6,1,train/vali have,https://womany.net ,https://womany.net/events,活動講座｜女人迷Womany
活動講座,7,1,train/vali have,https://event.moc.gov.tw ,https://event.moc.gov.tw/sp.asp?xdurl=HySearchG22016/SearchResult.asp&ctNode=676&mp=1,藝文活動查詢 - 文化部全國藝文活動資訊系統網
活動講座,8,1,,https://moltke.nccu.edu.tw/Registration/registration.do?action=conferenceList,https://moltke.nccu.edu.tw/Registration/index.jsp,政大活動報名
活動講座,9,1,,https://quantpass.org ,https://quantpass.org/category/event-course/event/,活動講座彙整- 量化通QuantPass
活動講座,10,0,null/ not sutiable,https://webportal.pscnet.com.tw/lecture/lecture_list.php?activity_type,https://webportal.pscnet.com.tw/lecture/lecture_list.php?activity_type=1,活動講座 - 統一綜合證券
活動講座,11,1,,https://campaigns.cathaylife.com.tw/OAWeb/servlet/HttpDispatcher/OACS/index,https://campaigns.cathaylife.com.tw/OAWeb/servlet/HttpDispatcher/OACS_0204/prompt,活動講座報名- 國泰人壽概念店
活動講座,12,1,nul,https://bec.lc.ncu.edu.tw ,https://bec.lc.ncu.edu.tw/CentralUniversityLanguageCenter/cate/%E6%B4%BB%E5%8B%95%E8%AC%9B%E5%BA%A7/,活動講座
活動講座,13,1,train/vali have,https://www.beclass.com ,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=L,課程/講座-顯示所有活動-第1頁 - BeClass線上報名系統
活動講座,14,0,past event,https://www.triz-tw.com ,https://www.triz-tw.com/%E6%B4%BB%E5%8B%95%E6%A6%82%E6%B3%81/%E6%B4%BB%E5%8B%95%E8%AC%9B%E5%BA%A7%E7%B3%BB%E5%88%97,Taiwan TRIZ Association - 活動講座系列 - 中華萃思學會
活動講座,15,0,但這個網頁有活動來源,https://ccl.taitung.gov.tw ,https://ccl.taitung.gov.tw/cl.aspx?n=14505,臺東縣政府文化處中文版-參加活動、講座
活動講座,16,1,train/vali have,https://www.kmseh.gov.tw ,https://www.kmseh.gov.tw/07_class/lectures.php,講座、親子活動網路報名 - 高雄市立社會教育館
活動講座,17,1,,https://www.bebit-tech.com ,https://www.bebit-tech.com/events,活動講座 - beBit TECH
活動講座,18,1,href same,https://campus.nutn.edu.tw ,https://campus.nutn.edu.tw/ActReg/,國立臺南大學活動報名系統
活動講座,19,1,,https://ogiaca.nsysu.edu.tw ,https://ogiaca.nsysu.edu.tw/p/403-1015-2317-1.php?Lang=zh-tw,活動/講座訊息- 國立中山大學全球產學營運及推廣處
活動講座,20,1,train/vali have,https://cte.nptu.edu.tw ,https://cte.nptu.edu.tw/p/403-1023-3214-1.php?Lang=zh-tw,實輔組：活動/講座/計畫 - 師資培育中心
活動講座,21,1,,https://www.dvcar.ncnu.edu.tw ,https://www.dvcar.ncnu.edu.tw/?cat=15,活動講座 - 家庭暴力研究中心- 國立暨南國際大學
活動講座,22,1,,https://www.commonhealth.com.tw ,https://www.commonhealth.com.tw/channel/170,課程活動 - 康健雜誌
活動講座,23,1,,https://www.tnpl.tn.edu.tw ,https://www.tnpl.tn.edu.tw/ActivityList,線上申辦_活動報名 - 臺南市立圖書館
活動講座,24,0,但這個網頁有活動來源,https://www.cgust.edu.tw ,"https://www.cgust.edu.tw/p/406-1000-55278,r23.php",虎尾科技大學辦理「教師增能系列活動」講座活動資訊
活動講座,25,1,,https://tpesupporter.tpech.gov.tw ,https://tpesupporter.tpech.gov.tw/activity.php,活動講座| 聯合諮詢| 給您關心，最短的距離。
活動講座,26,1,,https://www.sysmm.org ,https://www.sysmm.org/event_eventsA_List.php?num=2,課程活動/講座 - 孫運璿科技．人文紀念館
