keyword,rank,domain_page,url
活動,61,https://www.typl.gov.tw,https://www.typl.gov.tw/zh-tw/Activity?Filter%5B0%5D=&Filter%5B1%5D=&Filter%5B2%5D=&Filter%5B3%5D=&keyword=
活動,67,https://www.cet-taiwan.org,https://www.cet-taiwan.org/events
活動,78,https://www.hsinchu.gov.tw,https://www.hsinchu.gov.tw/ActivityHot.aspx?n=2243&sms=10042
活動,79,https://recreation.forest.gov.tw,https://recreation.forest.gov.tw/Event
活動,92,https://www.huf.org.tw,https://www.huf.org.tw/event
活動,94,https://serv.nstm.gov.tw,https://serv.nstm.gov.tw/act_group
活動,97,https://www.nlpi.edu.tw,https://www.nlpi.edu.tw/ActivityInfoListC001200.aspx?CategoryID=51427678-b22b-452e-9eed-30fc27eb788d&appname=ActivityInfoListC001202
展覽,31,https://yii.tw/,https://art.turn.tw/taoyuan/events/expo
展覽,35,https://asiamodern.asia.edu.tw,https://asiamodern.asia.edu.tw/zh_tw/exhibition/now
展覽,36,https://montue.ntue.edu.tw,https://montue.ntue.edu.tw/exhibitions/
展覽,37,https://www.artcenter.ntpc.gov.tw,https://www.artcenter.ntpc.gov.tw/xmdoc?xsmsid=0G269629197439395113
講座,33,https://arts.nycu.edu.tw,https://arts.nycu.edu.tw/arts-lectures/hao-ran-lectures/
講座,34,https://cte.nptu.edu.tw,https://cte.nptu.edu.tw/p/412-1023-74.php?Lang=zh-tw
講座,36,https://www.library.ntpc.gov.tw,https://www.library.ntpc.gov.tw/htmlcnt/doQueryManyHtmlCntTitleByCategory/003/ActvInfo
講座,38,https://www.cksmh.gov.tw,https://www.cksmh.gov.tw/activitysoonlist_126.html?csrfkey=IOGYIO&searchkey=%E5%81%A5%E5%BA%B7%E5%84%AA%E6%B4%BB
講座,53,https://coach.taiwanjobs.gov.tw,https://coach.taiwanjobs.gov.tw/wdaecPublic/ApplyGC/
展覽,39,https://www.ntm.gov.tw,https://www.ntm.gov.tw/onlineexhibitionlist_189.html
展覽,45,https://www.hchcc.gov.tw,https://www.hchcc.gov.tw/Tw/News/ActList?filter=fff0eeb8-d017-46fa-a3b8-547a4049499f
講座,57,https://ihuodong.ntue.edu.tw,https://ihuodong.ntue.edu.tw/category/8
講座,62,https://www.kmseh.gov.tw,https://www.kmseh.gov.tw/07_class/lectures.php
